title,harga,alamat,parkir motor,kamar tidur,kamar mandi,jmlh lantai,luas bangunan,luas tanah
"rumah siap huni, 5 menit ke stadion dipta di blahbatuh, gianyar, bali",615000000.0,"LINGKUNGAN BR. PRANGSADA, BLAHBATUH, GIANYAR BLAHBATUH, GIANYAR",20.0,2.0,2.0,1.0,55.0,115.0
rumah villa di ubud full furnish,3538000000.0,"UBUD, GIANYAR",10.0,2.0,2.0,2.0,104.0,100.0
"rumah dijual seperti villa siap huni view sawah di gianyar, bali",2500000000.0,"KERAMAS, GIANYAR",4.0,3.0,2.0,1.0,145.0,150.0
2 unit terakhir...rumah terlaris di bali,340000000.0,"JALAN BLAHBATUH,GIANYAR, DENPASAR BALI BLAHBATUH, GIANYAR",4.0,2.0,1.0,1.0,36.0,65.0
rumah cluster terbesar di ubud,3800000000.0,"UBUD, GIANYAR",8.0,2.0,3.0,2.0,104.0,100.0
sale rumah cantik minimalis lingk perum guwang sukawati gianyar bali,445000000.0,"JALAN RAYA GUWANG & JALAN RAYA CELUK-SUKAWATI & JALAN RAYA SUKAWATI, GIANYAR 80582, INDONESIA GUWANG, GIANYAR",20.0,2.0,1.0,1.0,36.0,87.0
rumah murah asri bersih di gianyar,575000000.0,"PERUMAHAN DI PERANGSADA BLAHBATUH BLAHBATUH, GIANYAR",10.0,2.0,2.0,1.0,115.0,115.0
rumah sitaan murah batubulan,530000000.0,"BATUBULAN, GIANYAR",4.0,2.0,1.0,1.0,100.0,104.0
dijual rumah siap huni di celuk batubulan bali,560000000.0,"CELUK, GIANYAR",10.0,3.0,1.0,1.0,50.0,80.0
rumah asri jln pantai saba,650000000.0,"JLN PANTAI SABA SABA, GIANYAR",20.0,3.0,2.0,1.0,100.0,150.0
rumah ready batubulan celuk gianyar bali jual,590000000.0,"CELUK, GIANYAR",4.0,3.0,1.0,1.0,50.0,75.0
di jual rumah style bali tepi sawah batubulan,680000000.0,"JALAN PASEKAN BATUBULAN SUKAWATI, GIANYAR",10.0,3.0,2.0,1.0,65.0,100.0
"dijual rumah purimas ubud, bali",1100000000.0,GIANYAR,4.0,3.0,1.0,1.0,72.0,72.0
di jual rumah design villa pasekan batubulan gianyar bali,685000000.0,"JALAN PASEKAN BATUBULAN GIANYAR BALI BATUBULAN, GIANYAR",10.0,3.0,2.0,1.0,73.0,100.0
rumah murah di ubud gianyar bali bisa kpr dp ringan,425000000.0,"UBUD UBUD, GIANYAR",20.0,2.0,1.0,1.0,45.0,100.0
rumah murah lantai 2,565000000.0,"SINGAPADU, GIANYAR",4.0,4.0,2.0,2.0,160.0,100.0
dijual rumah murah di guwang sukawati bali,450000000.0,"GUWANG, GIANYAR",4.0,2.0,1.0,1.0,40.0,56.0
rumah klasik nan artistik sudah bonus kitchen set di batubulan bali,650000000.0,"BATUBULAN KANGIN, GIANYAR, BALI BATUBULAN KANGIN, GIANYAR",10.0,3.0,2.0,1.0,65.0,100.0
dijual rumah siap huni luas 1 are hanya 600 jutaan di batubulan,600000000.0,"BATUBULAN, SUKAWATI GIANYAR BALI SUKAWATI, GIANYAR",20.0,3.0,2.0,1.0,60.0,100.0
rumah siap huni murah di batubulan kangin free kanopi,460000000.0,"BATUBULAN KANGIN, GIANYAR",4.0,2.0,1.0,1.0,45.0,56.0
for sale rumah style bali modern asri batubulan,650000000.0,"JALAN PASEKAN BATUBULAN BATUBULAN, GIANYAR",20.0,3.0,2.0,1.0,60.0,100.0
for sale rumah indent minimalis murah batubulan dekat denpasar,785000000.0,"JALAN PASEKAN BATUBULAN GIANYAR BALI BATUBULAN, GIANYAR",4.0,3.0,2.0,1.0,82.0,107.0
"dijual rumah 2 lt free ac + garasi hrg 600 jtan di guwang, sukawati, g",685000000.0,"SUKAWATI, GIANYAR",8.0,3.0,3.0,2.0,115.0,100.0
di jual indent rumah minimalis dekat terminal batubulan,775000000.0,"JALAN DEWI SRI BATUBULAN GIANYAR BALI BATUBULAN, GIANYAR",10.0,3.0,2.0,1.0,80.0,80.0
id:a-704 for sale jual rumah bedulu gianyar bali near ubud sukawati,550000000.0,"BEDULU, GIANYAR",8.0,2.0,1.0,1.0,70.0,80.0
jual murah harga nego rumah type 45 batubulan sukawati gianyar,670000000.0,"BATUBULAN KEL., SUKAWATI, GIANYAR, INDONESIA SUKAWATI, GIANYAR",10.0,2.0,1.0,1.0,45.0,75.0
batubulan gianyar | rumah lantai 1 luas tanah 2 are,900000000.0,"BATUBULAN GIANYAR BATUBULAN, GIANYAR",20.0,4.0,2.0,2.0,150.0,200.0
dijual rumah minimalis di perumahan elit jalan kebo iwa utara,699000000.0,"GIANYAR, GIANYAR",10.0,2.0,2.0,1.0,60.0,88.0
dijual rumah dikawasan batubulan,680000000.0,"BATUBULAN, GIANYAR",4.0,3.0,2.0,1.0,65.0,100.0
rumah 2 lantai style bali dikawasan pasekan batuyang bali,700000000.0,"BATUBULAN KANGIN, GIANYAR",8.0,4.0,2.0,2.0,185.0,100.0
rumah baru lantai 1 siap huni di kawasan jl pasekan batubulan gianyar,515000000.0,"SUKAWATI, GIANYAR",10.0,2.0,1.0,1.0,45.0,67.0
rumah 2 kamar di ketewel,725000000.0,"KETEWEL, GIANYAR",4.0,2.0,2.0,1.0,80.0,115.0
rumah baru di gianyar serongga bisa kpr dan harga terjangkau,315000000.0,"GIANYAR, GIANYAR",10.0,2.0,1.0,1.0,40.0,60.0
rumah baru lantai 1 di kawasan batubulan gianyar,670000000.0,"BATUBULAN, GIANYAR",4.0,3.0,2.0,1.0,65.0,100.0
rumah cantik sukawati,1200000000.0,"GIANYAR, INDONESIA SUKAWATI, GIANYAR",4.0,5.0,3.0,2.0,160.0,100.0
di jual rumah indent semi villa batubulan dekat denpasar,925000000.0,"JALAN DEWI CHANDRA BATUBULAN GIANYAR BALI BATUBULAN, GIANYAR",4.0,3.0,2.0,1.0,100.0,100.0
for sale rumah style bali modern batubulan dekat denpasar,650000000.0,"JALAN PASEKAN BATUBULAN GIANYAR BALI BATUBULAN, GIANYAR",4.0,3.0,2.0,1.0,65.0,100.0
