title,harga,alamat,parkir motor,kamar tidur,kamar mandi,jmlh lantai,luas bangunan,luas tanah
"rumah di ungasan pecatu,lingk perumahan,50 mtr dari jln utama",1700000000.0,"PECATU PECATU, BADUNG",10.0,3.0,2.0,2.0,174.0,114.0
jual rumah view gwk di nusa dua bali dp mulai 40 juta,500000000.0,"KAMPIAL NUSA DUA, BADUNG",10.0,2.0,2.0,1.0,50.0,50.0
jual rumah jimbaran vogue villa berada di kawasan exclusive puri gading,978000000.0,"JIMBARAN, BADUNG",4.0,2.0,2.0,1.0,80.0,103.0
rumah ungasan jimbaran kuta bali near gwk nusa dua uluwatu id:a-237 for sale jual,1500000000.0,"UNGASAN, BADUNG",10.0,4.0,4.0,2.0,185.0,155.0
rumah modern minimalis di gn salak kesambi - hsdw,3900000000.0,"GN SALAK KESAMBI - KEROBOKAN BADUNG KEROBOKAN, BADUNG",5.0,3.0,3.0,2.0,300.0,110.0
di jual rumah murah di nusadua bali,1190000000.0,"JALAN KEDAUNG NUSADUA BALI TANJUNG BENOA, BADUNG",10.0,3.0,3.0,1.0,100.0,100.0
rumah 3 kamar tidur perum elit lokasi di munggu canggu,2000000000.0,"MUNGGU CANGGU MUNGGU, BADUNG",8.0,3.0,2.0,2.0,240.0,171.0
rumah mewah siap huni termurah di jimbaran deket nusa dua,599000000.0,"JL JIMBARAN BADUNG JIMBARAN, BADUNG",4.0,2.0,2.0,1.0,50.0,60.0
"rumah 1lantai komplek perumahan di jimbaran, badung",850000000.0,"JIMBARAN, BADUNG",20.0,2.0,1.0,1.0,45.0,100.0
rumah murah 2 lantai dekat kampus unud jimbaran,990000000.0,"JL. RAYA MANDIRI JIMBARAN, BADUNG",6.0,3.0,2.0,2.0,140.0,107.0
rumah siap huni super murah di jimbaran,900000000.0,"JIMBARAN, BADUNG",10.0,3.0,2.0,1.0,100.0,122.0
rumah murah dalam komplek di nusa dua (asjnud5),560000000.0,"NUSA DUA, BADUNG",10.0,2.0,1.0,2.0,76.0,42.0
"rumah 2 lantai di puri gading jimbaran,daerah yang sedang berkembang",1700000000.0,"PURI GADING PURI GADING, BADUNG",10.0,4.0,2.0,2.0,210.0,138.0
rumah siap huni harga murah di jimbaran,3200000000.0,"BALI ARUM JIMBARAN, BADUNG",6.0,3.0,3.0,2.0,259.0,160.0
rumah baru 3 kamar taman jimbaran kuta badung bali,775000000.0,"KUTA, BADUNG",10.0,3.0,1.0,1.0,70.0,100.0
"dijual rumah minimalis ready unit di kampial, nusa dua, dekat puja man",645000000.0,"NUSA DUA, BADUNG",20.0,2.0,1.0,1.0,40.0,100.0
jual rumah baru dalung,765000000.0,"JL PENGILIAN DALUNG, BADUNG",4.0,3.0,1.0,1.0,60.0,100.0
di jual rumah siap huni buduk kuta utara badung bali,800000000.0,"JALAN RAYA BUDUK BADUNG BALI KUTA, BADUNG",4.0,3.0,2.0,1.0,67.0,100.0
ebl348 for sale rumah nyaman minimalis di nusa dua bali,1350000000.0,"ROYAL GARDEN RESIDENCE, JALAN TAMAN GIRI ASRI, MUMBUL, NUSA DUA NUSA DUA, BADUNG",4.0,3.0,2.0,1.0,80.0,105.0
rumah siap huni dp 10% di jimbaran,680000000.0,"JIMBARAN JIMBARAN, BADUNG",20.0,2.0,1.0,1.0,40.0,100.0
rumah modern minimalis siap huni,875000000.0,"BERANDA GARDEN MUMBUL NUSA DUA, BADUNG",20.0,3.0,2.0,1.0,70.0,129.0
dijual rumah lantai 2 minimalis kawasan perumahan dan villa,1600000000.0,"KEROBOKAN, BADUNG",6.0,2.0,3.0,2.0,140.0,100.0
dijual rumah 4 kamar tidur dekat mall sidewalk dan kampus unud jimbaran bali,2200000000.0,"JIMBARAN, BADUNG",6.0,4.0,3.0,2.0,220.0,120.0
4br rumah elit sunset road,2900000000.0,"JB SCHHOL, HARYS HOTEL SUNSET RD SUNSET ROAD, BADUNG",10.0,4.0,4.0,2.0,157.0,140.0
di jual rumah 3 lantai di kerobokan,3450000000.0,"KEROBOKAN, BADUNG",4.0,3.0,3.0,3.0,157.0,101.0
rumah minimalis strategis 3 bedroom kerobokan badung bali,1500000000.0,"KEROBOKAN KAJA, BADUNG",5.0,3.0,2.0,1.0,100.0,100.0
"jual rumah jln graha santhi buduk kuta bali.canggu,puspem,rs kapal",875000000.0,"JLN GRAHA SANTHI BUDUK KUTA BALI CANGGU, BADUNG",10.0,4.0,2.0,2.0,220.0,120.0
id:d-265 for jual rumah dalung kuta bali near canggu kerobokan gatsu,850000000.0,"CANGGU, BADUNG",10.0,2.0,1.0,2.0,120.0,100.0
rumah 2 kamar dijual dalam perumahan di nusa dua,1200000000.0,"NUSA DUA, BADUNG",20.0,2.0,2.0,1.0,55.0,105.0
dijual rumah style villa di kerobokan,1650000000.0,"KEROBOKAN, BADUNG",20.0,3.0,3.0,1.0,100.0,150.0
rumah padonan canggu bali,850000000.0,"PADONAN CANGGU BALI CANGGU, BADUNG",20.0,3.0,2.0,1.0,100.0,150.0
rumah prime sunset garden - sunset road kuta,3800000000.0,"KUTA, BADUNG",8.0,4.0,3.0,2.0,160.0,140.0
rumah strategis di tengah pusat wisata kuta,2450000000.0,"KUTA, BADUNG",8.0,3.0,4.0,2.0,134.0,120.0
h667 - rumah cantik 2 kamar di area komplek private,1150000000.0,"NUSA DUA, BADUNG",10.0,2.0,2.0,1.0,60.0,98.0
id:a-616 for sale jual rumah tuban kuta bali near jimbaran legian denpasar,2500000000.0,"JALAN TUBAN KUTA BADUNG BALI KUTA, BADUNG",10.0,3.0,3.0,1.0,170.0,200.0
rumah kesiman denpsar bali near sanur renon gatsu id:d-108 sale jual,850000000.0,JALAN BIAUNG KESIMAN BADUNG,10.0,2.0,1.0,1.0,75.0,100.0
rumah pecatu graha dreamland bali,1900000000.0,"PECATU PECATU, BADUNG",5.0,3.0,3.0,2.0,250.0,165.0
dijual cepat rumah 2 lantai di dalam lingkungan perumahan taman griya estate - jimbaran,900000000.0,"JIMBARAN, BADUNG",4.0,3.0,2.0,2.0,75.0,100.0
rumah dalam komplek perumahan elit di nusa dua (hrjnud28),2300000000.0,"NUSA DUA, BADUNG",10.0,3.0,3.0,2.0,200.0,150.0
rumah minimalis di bukit bali (bhjbuk24),2400000000.0,"BUKIT JIMBARAN, BADUNG",4.0,3.0,2.0,1.0,100.0,125.0
rumah 2 lantai di nusa dua bali (dyjnud40),4000000000.0,"NUSA DUA, BADUNG",10.0,3.0,2.0,2.0,215.0,150.0
rumah di dalam perumahan jimbaran bali (ahsjbn18),1800000000.0,"JIMBARAN, BADUNG",20.0,2.0,2.0,2.0,105.0,169.0
rumah tinggal shm di kerobokan bali (advker480),4800000000.0,"KEROBOKAN, BADUNG",4.0,3.0,3.0,1.0,175.0,209.0
id:c-504 sale rumah kerobokan kuta badung bali near seminyak denpasar canggu,2000000000.0,"KEROBOKAN, BADUNG",8.0,5.0,3.0,1.0,200.0,212.0
"rumah modern minimalist 2 bedrooms di perum legend hill, ungasan",700000000.0,"PERUMAHAN LEGEND HILL, UNGASAN UNGASAN, BADUNG",4.0,2.0,1.0,1.0,70.0,75.0
dijual rumah semi villa full furnished di dalung dekat canggu,1500000000.0,"DALUNG, BADUNG",10.0,3.0,2.0,2.0,126.0,86.0
rumah strategis di taman griya jimbaran,1095000000.0,"KUTA, BADUNG",4.0,3.0,1.0,1.0,100.0,133.0
"dijual rumah mungil jl dharmawangsa - siligita,nusa dua",600000000.0,"JALAN DHARMAWANGSA. SILIGITA NUSA DUA, BADUNG",8.0,2.0,1.0,1.0,70.0,80.0
rumah type 135 murah di belakang kfc jimbaran,1850000000.0,"JIMBARAN, BADUNG",8.0,3.0,3.0,2.0,135.0,120.0
jual rumah lantai.2 area kerobokan badung,1500000000.0,"KEROBOKAN, BADUNG",10.0,3.0,2.0,2.0,90.0,120.0
ebl353 for sale rumah modern di jimbaran bali,2400000000.0,"JIMBARAN, BADUNG",4.0,5.0,4.0,1.0,155.0,160.0
rumah dekat pantai jimbaran (skjjbn1758),3500000000.0,"JIMBARAN, BADUNG",10.0,2.0,2.0,2.0,146.0,100.0
rumah baru di banjar semer kerobokan (dwjker32),3200000000.0,"KEROBOKAN, BADUNG",10.0,3.0,3.0,2.0,185.0,118.0
rumah modern di jimbaran bali (dyjdps41),4100000000.0,"JIMBARAN, BADUNG",10.0,3.0,3.0,2.0,245.0,200.0
rumah taman griya,1850000000.0,"JIMBARAN KEL., KUTA SELATAN, BADUNG, INDONESIA JIMBARAN, BADUNG",4.0,5.0,2.0,1.0,200.0,240.0
perumahan samanta taman giri nyaman dan super komplit full furnished,2400000000.0,"PERUMAHAN SAMANTA TAMAN GIRI MUMBUL NUSA DUA NUSA DUA, BADUNG",10.0,4.0,4.0,3.0,201.0,144.0
jual rumah di buduk dekat ke canggu luas 84 m2,600000000.0,"JALAN RAYA BUDUK MENGWI, BADUNG, INDONESIA MENGWI, BADUNG",4.0,2.0,1.0,1.0,50.0,84.0
dijual rumah cluster one gate sistem di nusa dua bali,1850000000.0,"NUSA DUA, BADUNG",4.0,2.0,3.0,1.0,80.0,120.0
rumah baru modern di kerobokan bali (dsfv028),2950000000.0,"KEROBOKAN, BADUNG",10.0,3.0,3.0,2.0,155.0,100.0
rumah dalam komplek elit pecatu graha (ahjbuk35),3500000000.0,"BUKIT JIMBARAN, BADUNG",10.0,3.0,3.0,1.0,168.0,200.0
rumah ocean view nusa dua (dyjnud35),3500000000.0,"NUSA DUA, BADUNG",10.0,3.0,3.0,1.0,300.0,300.0
rumah tinggal shm di kerobokan advker480,4800000000.0,"KEROBOKAN, BADUNG",10.0,3.0,3.0,1.0,175.0,209.0
rumah view sawah onegate dekat seminyak denpasar bali,1000000000.0,"KEROBOKAN, BADUNG",4.0,3.0,2.0,1.0,68.0,104.0
ebl367 for sale rumah cantik minimalis di jimbaran bali,2500000000.0,"JIMBARAN, BADUNG",8.0,5.0,3.0,2.0,325.0,130.0
ebl378 for sale rumah cantik 2 lantai di jimbaran,3000000000.0,"JIMBARAN, BADUNG",4.0,3.0,3.0,2.0,136.0,144.0
"rumah di lokasi strategis di ungasan, bali",650000000.0,"UNGASAN, BADUNG",4.0,2.0,1.0,1.0,55.0,84.0
"rumah siap huni hanya 1,5m di jimbaran dekat kampus unud",1500000000.0,"JIMBARAN JIMBARAN, BADUNG",5.0,4.0,4.0,2.0,150.0,109.0
rumah jimbaran taman griya,1350000000.0,"JALAN DANAU BATUR RAYA, BADUNG 80363, INDONESIA JIMBARAN, BADUNG",10.0,2.0,2.0,1.0,85.0,120.0
amk 024 for sale rumah di kawasan jimbaran bali near uluwatu nusa dua,1580000000.0,"JIMBARAN KEL., KUTA SELATAN, BADUNG, INDONESIA JIMBARAN, BADUNG",6.0,4.0,2.0,1.0,100.0,108.0
rumah di kerobokan badung dekat seminyak,2150000000.0,"KEROBOKAN, BADUNG",10.0,3.0,2.0,1.0,140.0,141.0
rumah 2 lantai full bangunan di kawasan canggu badung bali,1500000000.0,"CANGGU, BADUNG",8.0,3.0,2.0,2.0,215.0,123.0
rumah lantai 2 di sempidi dekat puspen badung,585000000.0,"MENGWI, BADUNG",8.0,3.0,2.0,2.0,95.0,70.0
rumah lantai 1 di area jl pemuwunan lukluk sempidi badung,675000000.0,"MENGWI, BADUNG",20.0,3.0,2.0,1.0,100.0,150.0
dijual rumah 3 kamar daerah kori nuansa jimbaran bali,700000000.0,"JIMBARAN, BADUNG",10.0,3.0,1.0,1.0,70.0,70.0
dijual rumah lantai 2 kawasan perumahan di padonan tibubeneng,1200000000.0,"TIBUBENENG, BADUNG",10.0,2.0,2.0,2.0,90.0,112.0
rumah dihitung harga tanahnya saja (empv0025),2500000000.0,"SEMINYAK, BADUNG",10.0,2.0,2.0,1.0,160.0,188.0
rumah baru dekat padonan canggu,1450000000.0,"KUTA, BADUNG",8.0,3.0,2.0,2.0,150.0,120.0
di jual rumah di taman gerye,2500000000.0,"JLN TAMAN GRIYE JIMBARAN BADUNG BALI BUKIT JIMBARAN, BADUNG",5.0,3.0,3.0,2.0,225.0,204.0
rumah style villa kerobokan 3 kamar tidur siap huni,2850000000.0,"KUTA, BADUNG",4.0,3.0,3.0,2.0,350.0,225.0
h938 - rumah minimalist dengan 3 kamar tidur di daerah jimbaran,1500000000.0,"JIMBARAN, BADUNG",10.0,3.0,3.0,2.0,202.0,100.0
rumah style bali lantai 1 di dalung badung bali,600000000.0,"KUTA, BADUNG",10.0,3.0,1.0,1.0,80.0,100.0
rumah dekat canggu dan seminyak,1650000000.0,"KEROBOKAN KAJA, BADUNG",8.0,5.0,2.0,2.0,120.0,100.0
ebl352 for sale rumah cantik 2 lantai di jimbaran bali,2300000000.0,"JIMBARAN, BADUNG",4.0,4.0,4.0,2.0,150.0,160.0
rumah minimalis di perumahan taman mumbul nusa dua bali (nnpv0074),2900000000.0,"NUSA DUA, BADUNG",4.0,4.0,4.0,2.0,218.0,158.0
rumah minimalis di jimbaran bali (asjjbn20),2000000000.0,"JIMBARAN, BADUNG",10.0,3.0,2.0,2.0,150.0,107.0
rumah baru dalam komplek perumahan taman griya jimbaran (vcjjbn35),3500000000.0,"JIMBARAN, BADUNG",10.0,4.0,4.0,1.0,225.0,260.0
rumah 2 lantai di nusa dua (ayjnud22),2200000000.0,"NUSA DUA, BADUNG",10.0,5.0,3.0,2.0,180.0,150.0
rumah termurah promo cashback 40 juta di jimbaran,610000000.0,"JL JIMBARAN JIMBARAN, BADUNG",8.0,2.0,1.0,2.0,60.0,50.0
dijual rumah lantai 2 di kesambi kerobokan badung bali,1600000000.0,"KUTA, BADUNG",6.0,2.0,3.0,2.0,140.0,100.0
rumah abianbase badung 2 kamar tidur siap huni,1658838000.0,"MENGWI, BADUNG",4.0,2.0,1.0,1.0,90.0,130.0
rumah plus kolam renang dekat puspem badung,950000000.0,"KUTA, BADUNG",8.0,2.0,2.0,2.0,100.0,72.0
rumah semi villa kerobokan,2500000000.0,"JL RAYA KEROBOKAN KEROBOKAN, BADUNG",20.0,2.0,2.0,1.0,100.0,150.0
rumah ungasan jimbaran villa area,1100000000.0,"BUKIT JIMBARAN, BADUNG",10.0,3.0,2.0,1.0,80.0,110.0
rumah 3 kamar tidur taman jimbaran,3000000000.0,"TAMAN JIMBARAN JIMBARAN, BADUNG",5.0,3.0,2.0,3.0,266.0,200.0
rumah semi villa di jimbaran,2750000000.0,"JIMBARAN, BADUNG",10.0,3.0,2.0,1.0,171.0,200.0
rumah baru gress lokasi bagus komplek bagus dekat tempat pariwisata,1299000000.0,"KEROBOKAN, BADUNG",10.0,2.0,2.0,1.0,60.0,65.0
jual rumah easternland mansion jimbaran badung bali murah strategis,610000000.0,"JIMBARAN, BADUNG",4.0,2.0,2.0,1.0,60.0,60.0
rumah murah 172 m2 balangan pratama jimbaran hrg 800 jt,800000000.0,"BUKIT JIMBARAN, BADUNG",20.0,4.0,4.0,1.0,120.0,172.0
"rumah murah 4 kamar tidur diungasan, lokasi strategis, dkt pantai",675000000.0,"KUTA, BADUNG",4.0,3.0,2.0,1.0,110.0,150.0
murah dijual rumah 2 lantai di muding indah luas 128 m2,1600000000.0,"KUTA, BADUNG",8.0,3.0,2.0,2.0,150.0,128.0
rumah 3 kamar tidur view gwk lokasi di ungasan jimbaran,850000000.0,"UNGASAN JIMBARAN UNGASAN, BADUNG",20.0,3.0,2.0,1.0,85.0,133.0
rumah canggu padonan 150m2 land 3 kamar tidur,1500000000.0,"CANGGU, BADUNG",20.0,3.0,2.0,1.0,80.0,150.0
rumah dijual lokasi cempaka dalung,375000000.0,"DALUNG, BADUNG",10.0,3.0,1.0,1.0,36.0,60.0
jual rumah murah dp 30 jt kampial nusa dua bali,375000000.0,"KUTA, BADUNG",4.0,2.0,2.0,1.0,50.0,50.0
murah dijual rumah 1 are di gadon beringkit mengwi badung,550000000.0,"MENGWI, BADUNG",10.0,3.0,1.0,1.0,70.0,100.0
rumah minimalis di jimbaran,675000000.0,"JIMBARAN, BADUNG",20.0,3.0,1.0,1.0,65.0,108.0
rumah jual 2 lantai area kerobokan - hsfn,2200000000.0,"KEROBOKAN, BADUNG",5.0,3.0,2.0,2.0,200.0,100.0
rumah di ubung kaja,1000000000.0,"JL. TUNGGUL AMETUNG CANGGU, BADUNG",4.0,4.0,2.0,1.0,150.0,193.0
jual bangunan rumah kayu knockdown 5x10m model a-frame house,275000000.0,"JALAN RAYA SEMANA MAMBAL, BADUNG BALI MAMBAL, BADUNG",4.0,2.0,1.0,1.0,75.0,100.0
"brand new house cendana residence jimbaran rumah 2lt semi villa harga 1,2m an",1299000000.0,"UNGASAN, BADUNG",10.0,3.0,2.0,2.0,121.0,80.0
rumah lantai 1 di penarungan,375000000.0,"JL. GN. BATUKARU, PENARUNGAN, KEC. MENGWI, KABUPATEN BADUNG, BALI 80352 BADUNG",8.0,2.0,2.0,1.0,36.0,50.0
"rumah siap pakai area jimbaran, badung bali",2000000000.0,"JIMBARAN, BADUNG",4.0,3.0,4.0,1.0,150.0,162.0
dijual rumah lantai 2 view sawah dan sungai di tangeb. abianbase badung,1500000000.0,"KAPAL, BADUNG",20.0,4.0,4.0,2.0,156.0,204.0
murah dijual rumah 106 m2 di abianbase dekat dalung,550000000.0,"MENGWI, BADUNG",4.0,3.0,1.0,1.0,70.0,106.0
rumah strategis kampus unud jimbaran,725000000.0,"KUTA, BADUNG",6.0,2.0,1.0,2.0,120.0,80.0
dijual rumah minimalis lantai 2 dalung,1100000000.0,"DALUNG, BADUNG",4.0,3.0,2.0,2.0,90.0,100.0
rumah 1 are di jimbaran,1100000000.0,"JL. KAMPUS UNUD JIMBARAN KUTA SELATAN BADING BALI JIMBARAN, BADUNG",10.0,2.0,2.0,2.0,150.0,100.0
rumah semi villa di jimbaran bali hanya 10 menit dari bandara,1650000000.0,"JIMBARAN, BADUNG",4.0,3.0,3.0,1.0,150.0,150.0
"rumah design villa for sale area puri gading, jimbaran",1900000000.0,"JIMBARAN, BADUNG",8.0,4.0,4.0,2.0,150.0,120.0
rumah dua lantai siap huni 2 menit ke klub jimbaran,1900000000.0,"TAMAN GRIYA JIMBARAN, BADUNG",4.0,3.0,4.0,2.0,150.0,160.0
rumah cluster di taman jimbaran,1250000000.0,PERUM GRIYA NUSA DAMAI JALAN TAMAN JIMBARAN BADUNG,10.0,2.0,2.0,1.0,140.0,160.0
"a beautiful house at perumahan elite di nusa dua, kuta",2100000000.0,"NUSA DUA, BADUNG",20.0,3.0,2.0,1.0,180.0,227.0
dijual rumah esternland mansion jimbaran,610000000.0,"JL. KOR C JIMBARAN KUTA, BADUNG",4.0,2.0,2.0,1.0,60.0,60.0
"rumah semi villa di kerobokan view sawah,akses jalan 4,5 meter",2800000000.0,"KESAMBI,KEROBOKAN,BADUNG,BALI KEROBOKAN, BADUNG",4.0,3.0,4.0,2.0,200.0,150.0
rumah cozy di jimbaran,1550000000.0,"JIMBARAN, BADUNG",10.0,4.0,2.0,1.0,110.0,140.0
jual rumah di bali jimbaran ada pool,1500000000.0,"JIMBARAN - BALI JIMBARAN, BADUNG",4.0,2.0,2.0,1.0,80.0,88.0
id:a-481 for sale jual rumah jimbaran kuta bali near gwk uluwatu nusa,1300000000.0,"JIMBARAN, BADUNG",10.0,3.0,2.0,1.0,80.0,107.0
rumah di purigading jimbaran,2600000000.0,"JIMBARAN, BADUNG",10.0,2.0,2.0,1.0,180.0,200.0
"dijual rumah minimalis modern one gate sistem di goa gong, ungasan",700000000.0,"GOA GONG, BADUNG",10.0,3.0,1.0,1.0,100.0,105.0
rumah buc di jual di dalung,530000000.0,"DALUNG, BADUNG",4.0,2.0,2.0,1.0,40.0,58.0
murah dijual rumah luas 2 are dekat airport ngurah rai,1600000000.0,"KUTA, BADUNG",4.0,3.0,3.0,1.0,160.0,200.0
for sale rumah full furnished diperumahan one gate sistem di jimbaran,1500000000.0,"JIMBARAN, BADUNG",6.0,3.0,3.0,2.0,115.0,81.0
rumah 2 lantai di puri gading jimbaran bali promo terbatas,965000000.0,"KUTA, BADUNG",10.0,2.0,3.0,2.0,80.0,100.0
"rumah modern minimalis di cluster perumahan security 24hr, ungasan",1800000000.0,"UNGASAN BUKIT JIMBARAN, BADUNG",10.0,3.0,3.0,2.0,135.0,112.0
rumah dekat pererenan dan canggu,1700000000.0,"KUTA, BADUNG",4.0,5.0,3.0,1.0,177.0,210.0
"rumah di taman griya jimbaran,bali-harga murah dibawah pasaran",1100000000.0,"JIMBARAN, BADUNG",10.0,5.0,2.0,2.0,175.0,210.0
turun harga rumah di jimbaran bali,1400000000.0,"KUTA, BADUNG",6.0,3.0,2.0,2.0,150.0,112.0
"rumah minimalis siap huni dijual area mengwi, badung",1300000000.0,"MENGWI, BADUNG",4.0,4.0,2.0,2.0,152.0,100.0
rumah di kerobokan - kuta,2800000000.0,"KEROBOKAN, BADUNG",10.0,3.0,2.0,2.0,261.0,200.0
dijual rumah baru minimalis semi villa,2000000000.0,"PERUMAHAN PURIGADING JIMBARAN BADUNG BALI JIMBARAN, BADUNG",4.0,2.0,2.0,1.0,65.0,100.0
rumah modern minimalis harga murah di ungasan,850000000.0,"JALAN HAPPY DAY BUKIT JIMBARAN, BADUNG",4.0,3.0,3.0,1.0,90.0,99.0
rumah 2 lantai jl. goa gong dekat kampus udayana jimbaran bali,850000000.0,"JALAN GOA GONG, BADUNG 80363, INDONESIA BUKIT JIMBARAN, BADUNG",10.0,4.0,3.0,2.0,150.0,110.0
rumah murah siap huni 3 menit ke kampus unud bali,775000000.0,"JIMBARAN, BADUNG JIMBARAN, BADUNG",20.0,2.0,1.0,1.0,54.0,100.0
hunian cluster rumah minimalis di dekat canggu,975000000.0,"JL. BYPASS TANAH LOT MUNGGU, BADUNG",20.0,2.0,1.0,1.0,50.0,110.0
rumah ready unit mangestiraya gentan,361000000.0,"KARTIKA PLAZA, BADUNG",10.0,2.0,1.0,1.0,45.0,73.0
rumah cluster one gate jimbaran harga murah,1600000000.0,"PURI GADING KUTA, BADUNG",20.0,2.0,1.0,2.0,65.0,125.0
rumah baru smart home lokasi premium di seminyak,1900000000.0,"SEMINYAK, BALI SEMINYAK, BADUNG",10.0,3.0,3.0,2.0,100.0,127.0
rumah dengan villa style,2500000000.0,"GUNUNG SOPUTAN KEROBOKAN, BADUNG",10.0,3.0,4.0,2.0,130.0,150.0
jual rumah mewah elite one gate security di kerobokan kuta bali.canggu,2100000000.0,"KEROBOKAN KUTA BALI KEROBOKAN, BADUNG",10.0,3.0,2.0,2.0,140.0,125.0
dijual rumah ready unit & siap huni strategis hrg mulai 300 jtan ungas,300000000.0,"UNGASAN, BADUNG",4.0,2.0,1.0,1.0,35.0,50.0
dijual rumah murah di nusa dua,470000000.0,"NUSA DUA, BADUNG",10.0,2.0,1.0,1.0,30.0,50.0
rumah lantai 1 inden murah di jimbaran,750000000.0,"JIMBARAN, BADUNG",20.0,2.0,1.0,1.0,33.0,100.0
rumah murah di bali bisa cash dan kpr,610000000.0,"JIMBARAN KUTA, BADUNG",8.0,2.0,1.0,1.0,50.0,60.0
rumah residen di bali damara village jimbaran tipe damita signature,1762020000.0,"JIMBARAN, SOUTH KUTA, BADUNG REGENCY, BALI 80361 JIMBARAN, BADUNG",10.0,2.0,2.0,1.0,69.0,103.0
rumah murah di taman griya,850000000.0,"JALAN DANAU BRATAN TAMAN GRIYA, BADUNG",4.0,3.0,2.0,1.0,85.0,110.0
dijual rumah 4 kt di balangan pratama jimbaran,885000000.0,"BALANGAN PRATAMA BUKIT JIMBARAN, BADUNG",20.0,4.0,4.0,1.0,100.0,172.0
"rumah konsep villa area pecatu, kuta badung",2500000000.0,"PECATU, BADUNG",20.0,2.0,3.0,1.0,160.0,210.0
rumah tingkat siap huni di taman griya jimbaran,900000000.0,"JIMBARAN, BADUNG",10.0,3.0,2.0,1.0,80.0,100.0
jual rumah glogor carik denpasar bali deket ke imam bonjol sunset road kerobokan,1750000000.0,"SUNSET ROAD, BADUNG",10.0,3.0,2.0,2.0,130.0,110.0
rumah di perum bernasi buduk,475000000.0,"INDONESIA, BADUNG, PERUM BERNASI PERMAI MENGWI, BADUNG",8.0,3.0,1.0,1.0,55.0,72.0
dijual rumah jimbaran goa gong,850000000.0,"GOA GONG JIMBARAN, BADUNG",10.0,3.0,3.0,1.0,90.0,120.0
dijual rumah new launching esternland mansion jimbaran badung bali,610000000.0,"JIMBARAN, BADUNG",4.0,2.0,2.0,2.0,60.0,60.0
rumah murah 2 kamar tidur lokasi di padonan,550000000.0,"PADONAN CANGGU CANGGU, BADUNG",4.0,2.0,2.0,1.0,60.0,100.0
jual rumah style vila isi kolam renang dekat pandawa beach nusa dua bali,1200000000.0,"DHARMAWANGSA NUSA DUA, BADUNG",10.0,2.0,2.0,1.0,75.0,100.0
rumah baru dekat stp nusa dua dan puja mandala,650000000.0,"JALAN BISMA DHARMAWANGSA NUSA DUA BALI NUSA DUA, BADUNG",10.0,3.0,1.0,2.0,55.0,50.0
"rumah di puri gading jimbaran,furnish,ruangan besar, dkt gwk",1050000000.0,"PURI GADING JIMBARAN PURI GADING, BADUNG",8.0,3.0,2.0,1.0,120.0,135.0
rumah sehat 2 lantai 3 kamar halaman luas turun harga,1500000000.0,"PERUMAHAN PURI GADING GANG PERSADA JIMBARAN, BADUNG",4.0,3.0,3.0,2.0,200.0,150.0
rumah lantai 1 tinggal lanjut finishing di area buduk mengwi badung,465000000.0,"MENGWI, BADUNG",20.0,2.0,2.0,1.0,50.0,100.0
rumah murah dekat kampus unud jimbaran,690000000.0,"KUTA, BADUNG",4.0,4.0,2.0,1.0,110.0,143.0
rumah bagus 2lt global village taman mumbul jimbaran bali,2100000000.0,"JALAN TAMAN BALI TAMAN MUMBUL MUMBUL, BADUNG",10.0,3.0,2.0,2.0,210.0,230.0
rumah mewah sunset road kuta dalam kompleks,2000000000.0,"SUNSET ROAD SEMINYAK SUNSET ROAD, BADUNG",10.0,3.0,3.0,2.0,100.0,100.0
rumah baru ready siap huni 400 jutaan kuta bali,400000000.0,"KAMPIAL NUSA DUA, BADUNG",10.0,2.0,2.0,1.0,50.0,50.0
murah dijual rumah baru luas 1 are di dalung,735000000.0,"KUTA, BADUNG",10.0,3.0,1.0,1.0,70.0,100.0
dijual rumah pojok di perumahan gading kencana-jimbaran,2500000000.0,"JIMBARAN, BADUNG",4.0,3.0,3.0,1.0,106.0,106.0
rumah semi villa di jimbaran,2500000000.0,"UDAYAN JIMBARAN, BADUNG",10.0,3.0,3.0,2.0,115.0,108.0
dijual rumah siap huni tanpa renov puri gading jimbaran 900 juta,900000000.0,"PERUMAHAN PURI GADING JIMBARAN JIMBARAN, BADUNG",4.0,2.0,2.0,1.0,100.0,135.0
rumah strategis di taman jimbaran,1100000000.0,"KUTA, BADUNG",4.0,2.0,2.0,1.0,90.0,130.0
rumah 2 lantai di puri gading jimbaran bali,1500000000.0,"JALAN PURI GADING, BADUNG 80363, INDONESIA JIMBARAN, BADUNG",10.0,3.0,3.0,2.0,120.0,150.0
dijual rumah minimalis dikawasan canggu badung bali,925000000.0,"CANGGU, BADUNG",10.0,3.0,1.0,1.0,70.0,90.0
rumah smart sistem di nusa dua dekat area pantai dan hotel,1250000000.0,"NUSA DUA, BADUNG",20.0,3.0,2.0,1.0,110.0,150.0
rumah lantai 1 dikawasan dalung badung bali,585000000.0,"DALUNG, BADUNG",10.0,3.0,2.0,1.0,70.0,90.0
rumah lokasi di semat berawa canggu badung,5000000000.0,"SEMAT BERAWA CANGGU, BADUNG",20.0,4.0,4.0,1.0,250.0,300.0
dijual rumah lantai 2 semi furnished di taman gria jimbaran kuta selatan,2400000000.0,"JIMBARAN, BADUNG",6.0,5.0,3.0,2.0,300.0,200.0
