title,harga,alamat,parkir_motor,kamar_tidur,kamar_mandi,jmlh_lantai,luas_bangunan,luas_tanah,kabupaten
"dijual rumah purimas ubud, bali",1100000000,gianyar,4,3,1,1,72,72,gianyar
di jual rumah design villa pasekan batubulan gianyar bali,685000000,"jalan pasekan batubulan gianyar bali batubulan, gianyar",10,3,2,1,73,100,gianyar
rumah murah di ubud gianyar bali bisa kpr dp ringan,425000000,"ubud ubud, gianyar",20,2,1,1,45,100,gianyar
rumah murah lantai 2,565000000,"singapadu, gianyar",4,4,2,2,160,100,gianyar
dijual rumah murah di guwang sukawati bali,450000000,"guwang, gianyar",4,2,1,1,40,56,gianyar
rumah klasik nan artistik sudah bonus kitchen set di batubulan bali,650000000,"batubulan kangin, gianyar, bali batubulan kangin, gianyar",10,3,2,1,65,100,gianyar
dijual rumah siap huni luas 1 are hanya 600 jutaan di batubulan,600000000,"batubulan, sukawati gianyar bali sukawati, gianyar",20,3,2,1,60,100,gianyar
rumah siap huni murah di batubulan kangin free kanopi,460000000,"batubulan kangin, gianyar",4,2,1,1,45,56,gianyar
for sale rumah style bali modern asri batubulan,650000000,"jalan pasekan batubulan batubulan, gianyar",20,3,2,1,60,100,gianyar
for sale rumah indent minimalis murah batubulan dekat denpasar,785000000,"jalan pasekan batubulan gianyar bali batubulan, gianyar",4,3,2,1,82,107,gianyar
"dijual rumah 2 lt free ac + garasi hrg 600 jtan di guwang, sukawati, g",685000000,"sukawati, gianyar",8,3,3,2,115,100,gianyar
di jual indent rumah minimalis dekat terminal batubulan,775000000,"jalan dewi sri batubulan gianyar bali batubulan, gianyar",10,3,2,1,80,80,gianyar
id:a-704 for sale jual rumah bedulu gianyar bali near ubud sukawati,550000000,"bedulu, gianyar",8,2,1,1,70,80,gianyar
jual murah harga nego rumah type 45 batubulan sukawati gianyar,670000000,"batubulan kel., sukawati, gianyar, indonesia sukawati, gianyar",10,2,1,1,45,75,gianyar
batubulan gianyar | rumah lantai 1 luas tanah 2 are,900000000,"batubulan gianyar batubulan, gianyar",20,4,2,2,150,200,gianyar
dijual rumah minimalis di perumahan elit jalan kebo iwa utara,699000000,"gianyar, gianyar",10,2,2,1,60,88,gianyar
dijual rumah dikawasan batubulan,680000000,"batubulan, gianyar",4,3,2,1,65,100,gianyar
rumah 2 lantai style bali dikawasan pasekan batuyang bali,700000000,"batubulan kangin, gianyar",8,4,2,2,185,100,gianyar
rumah baru lantai 1 siap huni di kawasan jl pasekan batubulan gianyar,515000000,"sukawati, gianyar",10,2,1,1,45,67,gianyar
rumah 2 kamar di ketewel,725000000,"ketewel, gianyar",4,2,2,1,80,115,gianyar
rumah baru di gianyar serongga bisa kpr dan harga terjangkau,315000000,"gianyar, gianyar",10,2,1,1,40,60,gianyar
rumah baru lantai 1 di kawasan batubulan gianyar,670000000,"batubulan, gianyar",4,3,2,1,65,100,gianyar
rumah cantik sukawati,1200000000,"gianyar, indonesia sukawati, gianyar",4,5,3,2,160,100,gianyar
di jual rumah indent semi villa batubulan dekat denpasar,925000000,"jalan dewi chandra batubulan gianyar bali batubulan, gianyar",4,3,2,1,100,100,gianyar
for sale rumah style bali modern batubulan dekat denpasar,650000000,"jalan pasekan batubulan gianyar bali batubulan, gianyar",4,3,2,1,65,100,gianyar
dijual rumah dengan design estetik tipe 42/99 lokasi gianyar bali,350000000,"gianyar bali gianyar, gianyar",20,2,1,1,42,99,gianyar
buc rumah murah 500jutaan jln lebar di blahbatuh gianyar,575000000,"blahbatuh, gianyar",20,2,2,1,55,115,gianyar
"rumah style bali dijual area sukawati, gianyar",1300000000,"sukawati, gianyar",20,4,1,1,120,170,gianyar
rumah modern style di ketewel bali indent (hrjgia26),2600000000,"ketewel, gianyar",10,2,2,1,160,180,gianyar
di jual indent rumah minimalis design suka suka batubulan,650000000,"jalan dewi sri batubulan gianyar bali batubulan kangin, gianyar",10,3,2,1,60,80,gianyar
rumah dijual di ubud bali komplek mewah damara village ubud (promo furnished),3400000000,"jalan cocoa, kedewatan ubud ubud, gianyar",8,2,2,2,104,100,gianyar
rumah tipe 45 di pusat gianyar kota,495000000,"jalan mulawarman, abianbase, gianyar, gianyar",20,2,1,1,45,100,gianyar
perumahan view sawah dekat pantai gianyar bali bonus ac jual,535000000,"indonesia, gianyar, jalan raya ketewel ketewel, gianyar",20,2,1,1,40,80,gianyar
rumah siap huni bagus terjangkau bisa kpr,585000000,"batubulan, gianyar",4,3,1,1,50,75,gianyar
miliki rumah cantik minimalis murah di gianyar,455000000,"bitera, gianyar",20,2,1,1,45,100,gianyar
"rumah murah ,modern dan minimalis di gianyar",800000000,"jalan belah batu gianyar, gianyar",4,3,2,1,74,91,gianyar
rumah mewah lokasi premium di sukawati - gianyar,1700000000,"sukawati sukawati, gianyar",10,3,3,1,150,150,gianyar
rumah baru siap huni lantai 1 di area batuyang sukawati gianyar,650000000,"sukawati, gianyar",4,3,2,1,65,100,gianyar
dijual rumah murah kawasan wisata dekat pantai keramas bali,350000000,gianyar gianyar,10,2,1,1,36,65,gianyar
rumah siap huni dengan luas 1 are di batubulan gianyar bali,650000000,"batubulan kangin, sukawati, gianyar, bali sukawati, gianyar",10,3,2,1,65,100,gianyar
jual rumah murah 400 jutaan bypass dharma giri kota gianyar bali,415000000,"bypass bitera gianyar, gianyar",10,2,1,1,45,80,gianyar
rumah siap huni di gianyar bali hanya 650 jutaan,650000000,"sukawati, gianyar",20,3,2,1,70,125,gianyar
rumah siap huni murah di guwang gianyar free pagar & kanopi,450000000,"sukawati, gianyar",4,2,1,1,40,56,gianyar
rumah view sawah di saba gianyar bali (dyjgia20),2000000000,"saba, gianyar",8,3,3,1,110,120,gianyar
rumah ubud gianyar bali near central ubud id:b-90 sale jual,1800000000,"ubud, gianyar",10,4,2,1,150,150,gianyar
rumah ready 3 kamar gianyar bali jual,530000000,"belega blahbatuh, gianyar",10,3,1,1,45,70,gianyar
"villa dijual di ubud bali , perumahan damara village ubud ( tipe damita a )",3400000000,"ubud, gianyar",8,2,3,2,104,100,gianyar
rumah semi villa di ubud gianyar pemandangan sawah,1500000000,"ubud, gianyar",8,4,2,2,250,228,gianyar
di jual rumah style bali minimalis batubulan gianyar bali,670000000,"batubulan, gianyar",4,3,2,1,60,100,gianyar
rumah murah dilingkungan perumahan,355000000,"blahbatuh, gianyar",4,2,1,1,75,100,gianyar
rumah siap huni hanya 450 jutaan di gianyar bali,450000000,"gianyar, bali gianyar",20,3,2,1,60,100,gianyar
rumah dekat denpasar di jl batu intan desa batubulan sukawati gianyar,1200000000,"jalan batu intan i, gianyar 80582, indonesia sukawati, gianyar",10,3,1,1,162,200,gianyar
for sale rumah minimalis siap huni full furnished di batu bulan,600000000,"batubulan gianyar, gianyar",8,2,2,2,80,57,gianyar
rumah minimalis siap huni bagus,525000000,"batubulan, gianyar",4,2,1,1,45,70,gianyar
di jual cepat rumah tipe 50 harga miring daerah saba gianyar-bali,350000000,"jalan raya saba saba, gianyar",20,2,1,1,60,100,gianyar
rumah nyamandilingkungan private jantung kota gianyar,390000000,"gianyar, gianyar",10,2,1,1,36,62,gianyar
"rumah desain minimalis siap huni di guwang bali, 5 menit ke bypass ida bagus man",460000000,"sukawati, gianyar, bali sukawati, gianyar",4,2,1,1,45,56,gianyar
tercantik di gianyar rumah murah siap bangun dekat alun-alun kota,480000000,"sukawati, gianyar, bali sukawati, gianyar",20,2,1,1,45,100,gianyar
rumah murah gianyar,350000000,"jalan raya tojan gianyar, gianyar",20,2,1,1,36,100,gianyar
di jual rumah lokasi strategis dengan akses lebar batuyang batubulan,730000000,"jalan batuyang batubulan gianyar bali batubulan, gianyar",10,3,2,1,65,100,gianyar
rumah murah desain modern ready stock di banjar pacung gianyar,455000000,"bitera, gianyar",20,2,1,1,45,100,gianyar
rumah murah dp ringan di gianyar bali,430000000,"bitera, gianyar",20,2,1,1,45,100,gianyar
dijual rumah full furnish type 110/140 harga 1 m (nego) daerah lodtund,1000000000,"ubud, gianyar",10,3,2,1,110,140,gianyar
rumah baru taman nuansa tjampuhan gianyar bali,1100000000,"perumahan taman nuansa tjampuhan, gianyar 80581, indonesia blahbatuh, gianyar",10,3,2,2,110,100,gianyar
rumah siap huni di batu bulan,585000000,"jalan batu bulan gang elang sebatu, gianyar",10,3,2,1,50,75,gianyar
