,title,harga,alamat,parkir_motor,kamar_tidur,kamar_mandi,jmlh_lantai,luas_bangunan,luas_tanah,kabupaten
0,rumah murah lokasi strategis karangasem,0.03349282296650718,karangasem,1.0,0.25,0.0,0.0,0.030470914127423823,0.2058823529411765,2
1,rumah minimalis murah lokasi strategis karangasem,0.03349282296650718,"karang asem, karangasem",1.0,0.25,0.0,0.0,0.030470914127423823,0.2058823529411765,2
2,rumah subsidi dekat kota karangasem bali,0.019712918660287085,"karang asem, karangasem",0.375,0.25,0.0,0.0,0.013850415512465367,0.08823529411764705,2
3,rumah semi finishing padang kerta karangasem,0.03349282296650718,"padang kerta, karangasem",1.0,0.25,0.0,0.0,0.030470914127423823,0.2058823529411765,2
4,rumah classic murah jogja. ndalem hinggil mewah eksklusif,0.0830622009569378,"karangasem, indonesia karangasem, karangasem",0.375,0.5,0.3333333333333333,0.0,0.06371191135734072,0.12352941176470589,2
5,rumah style villa plus pool di karangasem - bali,0.3588516746411483,"karang asem, karangasem",1.0,0.25,0.3333333333333333,0.0,0.7617728531855955,0.9411764705882352,2
6,dijual buc rumah 2 lantai di lingkungan komplek di bali karangasem,0.06220095693779904,"padangkerta, karangasem",0.0,0.5,0.3333333333333333,0.5,0.3739612188365651,0.2058823529411765,2
7,dijual cepat rumah murah minimalis daerah karangasem,0.03349282296650718,"jl serma natih, padang kerta, karangasem padang kerta, karangasem",1.0,0.25,0.0,0.0,0.030470914127423823,0.2058823529411765,2
8,rumah 2 lantai di jual di olx bebas banjir bandung,0.08421052631578947,"ban, karangasem",0.0,0.25,0.3333333333333333,0.5,0.06925207756232687,0.10588235294117648,2
9,angsuran 2 jutaan rumah minimalis di padang kerta karangasem bali,0.03349282296650718,"jl letda serma padang kerta karangasem bali padang kerta, karangasem",1.0,0.25,0.0,0.0,0.005540166204986138,0.2058823529411765,2
10,jual cepat rumah murah di desa padang kerta karangasem bali,0.03349282296650718,"karang asem, karangasem",1.0,0.25,0.0,0.0,0.030470914127423823,0.2058823529411765,2
11,rumah cantik & murah hanya rp 450 juta taman nuansa tjampuhan bali,0.07177033492822966,gianyar,1.0,0.25,0.0,0.0,0.030470914127423823,0.2058823529411765,4
12,rumah lantai 2 di batubulan harga termurah jalan mobil,0.11961722488038277,"batubulan, gianyar",0.25,0.75,0.3333333333333333,0.5,0.2631578947368421,0.2058823529411765,4
13,"dijual rumah type 60/100 di gianyar, bali",0.0985645933014354,"permata abian base, jl mulawarman, abian base. gianyar, gianyar",1.0,0.5,0.0,0.0,0.09695290858725761,0.2058823529411765,4
14,buc rumah minimalis murah ubud,0.1674641148325359,"ubud, gianyar",0.375,0.25,0.3333333333333333,0.0,0.23545706371191133,0.32352941176470584,4
15,rumah kos termurah di batubulan dekat jalan raya celuk,0.042105263157894736,"batubulan kangin, gianyar",0.0,0.75,0.0,0.0,0.11080332409972299,0.15588235294117647,4
16,rumah indent di guwang sukawati,0.13492822966507179,"jl. hidden canyon guwang bangkiang sidem - guwang - sukawati , gianyar sukawati, gianyar",0.375,0.5,0.3333333333333333,0.0,0.13850415512465372,0.2058823529411765,4
17,"v6.100 - rumah modern dengan harga di bawah 1 m, dekat pantai",0.10047846889952153,"jl. raya ubud no. 1 peliatan sukawati, gianyar",0.0,0.25,0.0,0.0,0.047091412742382266,0.1323529411764706,4
18,"dijual rumah villa siap huni view sawah dekat komune beach club di gianyar, bali",0.46411483253588515,"jln prof ida bagus mantra keramas kecamatan blahbatuh kabupaten gianyar, tepatnya di belakang circkle k keramas, gianyar",0.0625,0.5,0.6666666666666667,0.5,0.3462603878116343,0.3382352941176471,4
19,"rumah indent daerah guwang, sukawati",0.13492822966507179,"jl. hidden canyon guwang bangkiang sidem - guwang - sukawati , gianyar sukawati, gianyar",0.375,0.5,0.3333333333333333,0.0,0.13850415512465372,0.2058823529411765,4
20,rumah indent di guwang sukawati,0.13492822966507179,"jl. hidden canyon guwang bangkiang sidem - guwang - sukawati , gianyar sukawati, gianyar",0.0,0.5,0.3333333333333333,0.0,0.13850415512465372,0.2058823529411765,4
21,rumah lantai 2 harga murah di dekat pasar seni sukawati bali,0.15311004784688997,"batubulan kanguin sukawati, gianyar",0.25,0.5,0.3333333333333333,0.5,0.24930747922437674,0.27941176470588236,4
22,jual rumah di batuyang batubulan luas 2 are,0.23444976076555024,"jalan batuyang, gianyar 80582, indonesia batubulan, gianyar",0.375,0.75,0.6666666666666667,0.0,0.4293628808864266,0.5,4
23,rumah lantai 2 minimalis di dewi sri batubulan,0.1674641148325359,"batubulan, gianyar",0.25,0.75,0.6666666666666667,0.5,0.4293628808864266,0.2058823529411765,4
24,dijual murah rumah style villa jimbaran,0.29186602870813394,"sukawati, gianyar",0.375,0.25,0.3333333333333333,0.0,0.3185595567867036,0.38235294117647056,4
