,title,harga,alamat,parkir_motor,kamar_tidur,kamar_mandi,jmlh_lantai,luas_bangunan,luas_tanah,kabupaten
4594,rumah semi furnished dengan lingkungan nyaman,0.3492822966507177,"denpasar timur, denpasar",1.0,0.75,1.0,0.0,0.4847645429362881,0.6470588235294117,denpasar
4595,dijual rumah bagus asri alami full furnished di tohpati denpasar bali,0.2535885167464115,"jalan raya tohpati, denpasar 80237, indonesia denpasar timur, denpasar",0.0,0.75,0.3333333333333333,0.5,0.4847645429362881,0.27941176470588236,denpasar
4596,rumah megah gatot subroto timur denpasar,0.6172248803827751,"denpasar timur, denpasar",0.0,0.75,0.6666666666666667,0.5,0.7617728531855955,0.7647058823529411,denpasar
4597,rumah siap huni di gatsu denpasar,0.1645933014354067,"gatot subroto denpasar timur, denpasar",0.0,0.5,0.0,0.0,0.09695290858725761,0.2058823529411765,denpasar
4598,rumah desain villa lokasi sanur kota denpasar,0.1980861244019139,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.0,0.20775623268698062,0.2058823529411765,denpasar
4599,"di jual rumah strategis jalan batu intan, pasekan gianyar, bali",0.12535885167464117,"denpasar timur, denpasar",0.0,0.75,0.3333333333333333,0.5,0.3739612188365651,0.15,denpasar
4600,rumah modern minimalis siap huni,0.4449760765550239,"denpasar timur, denpasar",0.0,0.75,1.0,0.5,0.4847645429362881,0.3529411764705882,denpasar
4601,rumah minimalis murah lokasi strategis di kesiman,0.3588516746411483,"denpasar timur, denpasar",0.0,0.75,0.6666666666666667,0.5,0.39335180055401664,0.388235294117647,denpasar
4602,rumah lantai 2 di area jl drupadi renon denpasar,0.3684210526315789,"denpasar timur, denpasar",0.0,1.0,0.6666666666666667,0.5,0.44321329639889195,0.5,denpasar
4603,rumah baru gress lantai 1 dlm tahap finishing di area jl hayam wuruk,0.1291866028708134,"denpasar timur, denpasar",0.375,0.5,0.3333333333333333,0.0,0.08310249307479223,0.1411764705882353,denpasar
4604,dijual rumah 2 lantai di denpasar timur,0.4258373205741627,"denpasar timur, denpasar",0.0,0.75,1.0,0.5,0.7617728531855955,0.5,denpasar
4605,rumah baru minimalis di kesiman denpasar timur,0.24401913875598089,"denpasar timur, denpasar",0.375,0.5,0.3333333333333333,0.0,0.29085872576177285,0.35882352941176465,denpasar
4606,rumah mewah paling laris di pusat kota denpasar,0.6555023923444977,"sumerta kel., denpasar timur, denpasar, indonesia denpasar timur, denpasar",0.0625,0.5,1.0,0.0,0.23545706371191133,0.3294117647058824,denpasar
4607,rumah cantik dalam perumahan terbesar denpasar bali,0.9267177033492824,"sumerta kel., denpasar timur, denpasar, indonesia denpasar timur, denpasar",0.0,0.75,1.0,0.5,0.5318559556786704,0.29117647058823526,denpasar
4608,rumah tinggal rasa villa di renon denpasar bali,0.4066985645933014,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.5,0.2631578947368421,0.2058823529411765,denpasar
4609,rumah mewah dari waskita di denpasar,0.5023923444976077,"jl. wr supratman, sumerta, kec. denpasar tim., kota denpasar, bali 80237 denpasar timur, denpasar",0.0625,0.75,1.0,0.5,0.5318559556786704,0.38235294117647056,denpasar
4610,di jual rumah pribadi di jalan katrangan denpasar,0.6555023923444977,"denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.0,0.850415512465374,0.888235294117647,denpasar
4611,rumah murah tepi jalan raya di denpasar bali,0.5127272727272728,"sumerta kel., denpasar timur, denpasar, indonesia denpasar timur, denpasar",0.0,0.5,1.0,0.5,0.23545706371191133,0.22058823529411767,denpasar
4612,dijual rumah kerthalangu denpasar timur,0.33014354066985646,"kesiman kertalangu kel., denpasar timur, denpasar, indonesia denpasar timur, denpasar",0.0,0.75,1.0,0.0,0.20775623268698062,0.2411764705882353,denpasar
4613,hot list dijual rumah minimalis di siulan denpasar timur bali,0.215311004784689,"denpasar timur, denpasar",0.375,0.75,0.3333333333333333,0.0,0.2631578947368421,0.37058823529411766,denpasar
4614,hot list dijual rumah elite 2 lantai di siulan denpasar timur bali,0.3110047846889952,"denpasar timur, denpasar",1.0,0.75,0.6666666666666667,0.5,0.2631578947368421,0.38235294117647056,denpasar
4615,dijual rumah dikawasan hayamwuruk denpasar timur,0.30143540669856456,"denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.0,0.20775623268698062,0.22941176470588234,denpasar
4616,dijual rumah lokasi jln cekomaria perum kopertis,0.15789473684210528,"jalan cekomaria, denpasar 80124, indonesia denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.0,0.4847645429362881,0.5,denpasar
4617,dijual rumah lantai 2 kawasan jl tukad batanghari,0.5598086124401914,"jalan tukad batanghari 4, denpasar 80225, indonesia denpasar timur, denpasar",0.0625,0.75,0.6666666666666667,0.5,0.5955678670360111,0.5,denpasar
4618,rumah kawasan elite bangunan 2 lantai lokasi jalan hayam wuruk dentim,0.30143540669856456,"denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.5,0.20775623268698062,0.22941176470588234,denpasar
4619,rumah nusa indah denpasar dekat art centre,0.4066985645933014,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.0,0.4847645429362881,0.6470588235294117,denpasar
4620,dijual rumah dikawasan hayam wuruk denpasar timur,0.29186602870813394,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.5,0.3462603878116343,0.23529411764705885,denpasar
4621,dijual rumah mewah dikawasan biaung denpasar timur,0.4832535885167464,"denpasar timur, denpasar",1.0,0.75,0.6666666666666667,0.0,0.3490304709141274,0.5441176470588235,denpasar
4622,di jual rumah mewah dekat sanur,0.19617224880382775,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.0,0.20775623268698062,0.2058823529411765,denpasar
4623,rumah lingkungan elite lokasi di kota denpasar timur,0.15789473684210528,"denpasar timur, denpasar",0.0,0.25,0.0,0.0,0.20775623268698062,0.2058823529411765,denpasar
4624,di jual rumah modern minimalis di perumahan kne gate gatsu,0.28708133971291866,"denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.5,0.2770083102493075,0.23235294117647057,denpasar
4625,rumah lantai 2 di denpasar lokasi strategis pinggir jalan utama,0.46411483253588515,"denpasar timur, denpasar",0.0,0.75,1.0,0.5,0.7617728531855955,0.5,denpasar
4626,rumah lantai 1 di area jl sedap malam kesiman denpasar,0.1339712918660287,"denpasar timur, denpasar",0.375,0.5,0.3333333333333333,0.0,0.1523545706371191,0.2235294117647059,denpasar
4627,rumah lantai 2 di kawasan jl siulan denpasar timur,0.15770334928229665,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.5,0.20775623268698062,0.2058823529411765,denpasar
4628,rumah baru lantai 2 di area jl siulan denpasar timur,0.19617224880382775,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.5,0.24930747922437674,0.2058823529411765,denpasar
4629,rumah modern minimalis di pusat kota denpasar,0.14832535885167464,"denpasar timur, denpasar",0.375,0.5,0.3333333333333333,0.0,0.09695290858725761,0.1735294117647059,denpasar
4630,"rumah bagus dan terawat dijual area peguyangan, denpasar",0.24401913875598089,"denpasar timur, denpasar",0.375,0.25,0.3333333333333333,0.0,0.20775623268698062,0.2941176470588235,denpasar
4631,rumah 2 lantai posisi hook dikawasan jl siulan denpasar,0.3110047846889952,"denpasar timur, denpasar",0.0,0.75,0.6666666666666667,0.5,0.44321329639889195,0.38235294117647056,denpasar
4632,dijual rumah baru siap huni di sanur bali,0.215311004784689,"sanur bali kota denpasar bali denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.5,0.2770083102493075,0.2058823529411765,denpasar
4633,jual rumah baru di jl. padma penatih luas 86 m2,0.11961722488038277,"jalan padma, denpasar 80124, indonesia denpasar timur, denpasar",0.375,0.25,0.0,0.0,0.06925207756232687,0.16470588235294117,denpasar
4634,rumah modern lt 107m2 di jln akasia,0.1674641148325359,"denpasar timur, denpasar",0.375,0.5,0.3333333333333333,0.5,0.1523545706371191,0.22647058823529412,denpasar
